50000001,29633,10,30000777,20000114,10000009,None,390565601280.0000000000,41190481920.0000000000,-893183385600.0000000000,None,None,-0.2503766393,None,None
50000002,3877,10,30000777,20000114,10000009,None,6453101813760.0000000000,9581822976000.0000000000,1351065477120.0000000000,None,None,-0.2503766393,None,None
50000003,29633,10,30000777,20000114,10000009,None,-10254562222080.0000000000,-1086807367680.0000000000,-2337519329280.0000000000,None,None,-0.2503766393,None,None
50000004,16,10,30001386,20000203,10000016,None,853373952000.0000000000,152484864000.0000000000,-418614190080.0000000000,None,None,0.5494773459,None,None
50000005,16,10,30001386,20000203,10000016,None,-1001340149760.0000000000,-178915614720.0000000000,1414168289280.0000000000,None,None,0.5494773459,None,None
50000006,3877,10,30000756,20000111,10000009,None,1502396129280.0000000000,-3585654743040.0000000000,-987794841600.0000000000,None,None,-0.1103811281,None,None
50000007,29633,10,30000756,20000111,10000009,None,-382860533760.0000000000,35074498560.0000000000,-92614041600.0000000000,None,None,-0.1103811281,None,None
50000008,3877,10,30000756,20000111,10000009,None,7296491520.0000000000,-3859894394880.0000000000,1091336724480.0000000000,None,None,-0.1103811281,None,None
50000009,29633,10,30000756,20000111,10000009,None,-382857584640.0000000000,35075481600.0000000000,-92613058560.0000000000,None,None,-0.1103811281,None,None
50000010,3875,10,30002846,20000418,10000034,None,-3680922624000.0000000000,-241659863040.0000000000,791573667840.0000000000,None,None,-0.3012131180,None,None
50000011,3875,10,30002846,20000418,10000034,None,-53944197120.0000000000,-3536855040.0000000000,138054574080.0000000000,None,None,-0.3012131180,None,None
50000012,3875,10,30002846,20000418,10000034,None,-3680917463040.0000000000,-241636024320.0000000000,791593820160.0000000000,None,None,-0.3012131180,None,None
50000013,3875,10,30001561,20000230,10000018,None,467026698240.0000000000,-17324974080.0000000000,-758021775360.0000000000,None,None,-0.4067658860,None,None
50000014,3875,10,30001561,20000230,10000018,None,467021537280.0000000000,-17352253440.0000000000,-758024232960.0000000000,None,None,-0.4067658860,None,None
50000015,3875,10,30001561,20000230,10000018,None,-560142458880.0000000000,20801986560.0000000000,12964208640.0000000000,None,None,-0.4067658860,None,None
50000016,3875,10,30003009,20000441,10000037,None,7249198080000.0000000000,857826877440.0000000000,1894143221760.0000000000,None,None,0.6229306527,None,None
50000017,3875,10,30003009,20000441,10000037,None,7249196359680.0000000000,857827860480.0000000000,1894140272640.0000000000,None,None,0.6229306527,None,None
50000018,3875,10,30003009,20000441,10000037,None,-79574999040.0000000000,-9434603520.0000000000,14938152960.0000000000,None,None,0.6229306527,None,None
50000019,3875,10,30003009,20000441,10000037,None,-79585566720.0000000000,-9413713920.0000000000,14928814080.0000000000,None,None,0.6229306527,None,None
50000020,3875,10,30003009,20000441,10000037,None,7249192919040.0000000000,857819996160.0000000000,1894150348800.0000000000,None,None,0.6229306527,None,None
50000021,3875,10,30003009,20000441,10000037,None,45645373440.0000000000,5350072320.0000000000,-182035537920.0000000000,None,None,0.6229306527,None,None
50000022,16,10,30001356,20000198,10000016,None,-1105125580800.0000000000,-130887475200.0000000000,4203852472320.0000000000,None,None,0.3982679375,None,None
50000023,29627,10,30001356,20000198,10000016,None,-180251566080.0000000000,-4588143697920.0000000000,-1340989071360.0000000000,None,None,0.3982679375,None,None
50000024,16,10,30001356,20000198,10000016,None,392171642880.0000000000,46412881920.0000000000,1510551920640.0000000000,None,None,0.3982679375,None,None
50000025,29624,10,30000009,20000002,10000001,None,789684756480.0000000000,6538567680.0000000000,-3083474165760.0000000000,None,None,0.5778194816,None,None
50000026,29633,10,30000678,20000099,10000008,None,2425390817280.0000000000,-111649628160.0000000000,-1543463116800.0000000000,None,None,-0.4145389514,None,None
50000027,29633,10,30000678,20000099,10000008,None,2425408266240.0000000000,-111590645760.0000000000,-1543485726720.0000000000,None,None,-0.4145389514,None,None
50000028,3877,10,30000678,20000099,10000008,None,-1065118064640.0000000000,-2052077445120.0000000000,-2160930201600.0000000000,None,None,-0.4145389514,None,None
50000029,29633,10,30000678,20000099,10000008,None,231715184640.0000000000,-10642513920.0000000000,184561459200.0000000000,None,None,-0.4145389514,None,None
50000030,29626,10,30004077,20000596,10000052,None,1238016614400.0000000000,-1085626245120.0000000000,676166983680.0000000000,None,None,0.4812771529,None,None
50000031,29624,10,30004077,20000596,10000052,None,-544221634560.0000000000,67051806720.0000000000,-1522503966720.0000000000,None,None,0.4812771529,None,None
50000032,3874,10,30001562,20000230,10000018,None,1609709936640.0000000000,3089403371520.0000000000,1365809356800.0000000000,None,None,-0.3783628930,None,None
50000033,3875,10,30001562,20000230,10000018,None,-1614774067200.0000000000,-233850101760.0000000000,-819042263040.0000000000,None,None,-0.3783628930,None,None
50000034,3875,10,30001533,20000226,10000018,None,780919480320.0000000000,-67327303680.0000000000,-1561686466560.0000000000,None,None,-0.6037369580,None,None
50000035,3875,10,30001533,20000226,10000018,None,3619973160960.0000000000,-312081899520.0000000000,1579761377280.0000000000,None,None,-0.6037369580,None,None
50000036,29633,10,30000770,20000113,10000009,None,-901465497600.0000000000,82084208640.0000000000,1148229427200.0000000000,None,None,-0.2864100839,None,None
50000037,29633,10,30000770,20000113,10000009,None,-217017262080.0000000000,19704422400.0000000000,-284248104960.0000000000,None,None,-0.2864100839,None,None
